Datetime,Hourly Global Radiation (KJ/m2),Hourly Maximum Gust (kn),Hourly Mean Wind Direction (o),Hourly Mean Windspeed (kn),Hourly Pressure at Mean Sea Level (hPa),Hourly Rainfall Total (mm),Hourly Relative Humidity (%),Hourly Snow Depth (cm),Hourly Temperature (C),"Hourly Total Cloud Cover (oktas)
",Hourly Visibility (dm)
2013-01-08 19:00:00,0.0,12.4,214.0,7.0,1023.8,0.0,89.84285714285714,0.0,10.057142857142859,8.0,1066.6666666666667
2013-01-08 20:00:00,0.0,12.799999999999999,212.0,7.3999999999999995,1023.6750000000001,0.0,91.82857142857142,0.0,9.828571428571427,8.0,966.6666666666666
2013-01-08 21:00:00,0.0,13.200000000000001,204.0,7.2,1023.525,0.0,94.14285714285714,0.0,9.514285714285714,8.0,783.3333333333334
2013-01-08 22:00:00,0.0,13.4,204.0,7.3999999999999995,1023.1999999999999,0.15,95.58571428571429,0.0,9.171428571428573,8.0,286.6666666666667
2013-01-08 23:00:00,0.0,12.4,200.0,6.6000000000000005,1022.9499999999999,0.3,97.47142857142856,0.0,8.885714285714284,7.333333333333333,593.3333333333334
2013-01-09 00:00:00,0.0,10.799999999999999,198.0,5.8,1022.6,0.48000000000000004,97.84285714285714,0.0,8.785714285714286,7.666666666666667,513.3333333333334
2013-01-09 01:00:00,0.0,9.200000000000001,200.0,5.0,1022.1,0.6,98.24285714285715,0.0,8.757142857142856,8.0,586.6666666666666
2013-01-09 02:00:00,0.0,8.4,204.0,4.4,1021.8249999999999,0.24000000000000002,97.85714285714286,0.0,8.842857142857143,8.0,523.3333333333334
2013-01-09 03:00:00,0.0,6.6000000000000005,212.0,3.6,1021.6,0.44,98.42857142857143,0.0,8.885714285714286,8.0,396.6666666666667
2013-01-09 04:00:00,0.0,5.8,228.0,3.1999999999999997,1021.25,0.44,98.62857142857142,0.0,8.985714285714286,6.333333333333333,430.0
2013-01-09 05:00:00,0.0,6.0,268.0,2.8000000000000003,1020.8249999999999,0.32,98.64285714285714,0.0,9.0,6.0,623.3333333333334
2013-01-09 06:00:00,0.0,6.3999999999999995,232.0,3.1999999999999997,1020.625,0.12000000000000001,97.85714285714286,0.0,8.871428571428572,7.666666666666667,1223.3333333333333
2013-01-09 07:00:00,0.0,9.200000000000001,312.0,4.6000000000000005,1021.0500000000001,0.12000000000000001,96.04285714285713,0.0,8.642857142857142,8.0,713.3333333333334
